ID,NOME,CPF,FRENTE
1,Davi Lucca Pereira,452.123.441-07,SOFT
2,Vitória Albuquerque,157.162.761-80,SOFT
3,Dra. Feliciano Costa,206.071.336-60,SOFT
4,Mércia Oliveira Neto,886.417.584-96,SOFT
5,Enzo Gabriel Xavier,061.365.051-42,SOFT
6,Sara Nogueira,036.301.263-08,SOFT
7,Lucas Santos,371.500.626-95,SOFT
8,Deneval Souza,402.846.368-86,TECH
9,Benjamin Moraes,118.428.324-92,TECH
10,Joaquim Martins,814.457.831-77,SOFT
11,Hélio Santos Neto,882.853.467-22,TECH
12,Pedro Oliveira,087.857.347-05,TECH
13,Tertuliano Batista,441.341.523-05,SOFT
14,Gael Martins,417.251.006-06,TECH
15,Ricardo Moraes Jr.,481.116.081-95,TECH
16,Valentina Carvalho,227.580.071-93,SOFT
17,Mariana Carvalho,637.731.162-17,SOFT
18,Maria Júlia Macedo,631.131.732-05,SOFT
19,Luiza Saraiva,358.741.375-48,TECH
20,Lorena Reis,372.763.838-90,SOFT
21,João Lucas Moraes,836.443.508-68,TECH
22,Vitória Nogueira,264.538.741-13,SOFT
23,Lucca Franco,066.853.032-47,SOFT
24,Pietro Nogueira,613.248.863-40,SOFT
25,Dr. Lucca Pereira,350.822.044-32,TECH
26,Benício Moraes,830.321.283-40,TECH
27,Rafaela Moraes,241.024.836-59,TECH
28,Ricardo Braga,100.407.064-00,TECH
29,Félix Saraiva,071.586.762-85,SOFT
30,Alexandre Pereira,471.071.800-88,TECH
31,Núbia Nogueira,566.046.531-53,TECH
32,Meire Santos,673.848.432-19,SOFT
33,Margarida Carvalho,557.311.367-42,SOFT
34,Dalila Batista Jr.,051.453.627-65,TECH
35,Ana Clara Costa,860.752.805-02,SOFT
36,Paula Carvalho,052.431.754-20,SOFT
37,Gustavo Xavier,322.236.704-31,SOFT
38,Karla Costa,058.574.325-88,TECH
39,Gael Nogueira,551.351.213-07,TECH
40,Dra. Fabiano Costa,520.482.482-09,TECH
41,Yango Albuquerque,842.032.083-86,SOFT
42,Benício Moraes,817.437.146-02,SOFT
43,Enzo Gabriel Franco,650.032.887-60,SOFT
44,João Lucas Oliveira,827.537.037-01,SOFT
45,Lucca Batista,726.725.853-00,SOFT
46,Dra. Pietro Albuquerque,074.330.235-42,TECH
47,Maria Cecília Santos,721.131.488-54,SOFT
48,Dr. Davi Lucca Braga,658.411.742-15,SOFT
49,Larissa Batista,627.403.643-18,SOFT
50,Gúbio Macedo,216.541.136-03,TECH
