ID,NOME,CPF,TURMA
1,Felícia Reis Neto,281.017.888-75,3
2,Esther Carvalho,802.128.286-06,4
3,Gabriel Reis,134.034.645-12,3
4,Hélio Barros,282.725.243-09,1
5,Feliciano Souza,727.017.813-53,3
6,Dalila Nogueira,218.547.806-03,2
7,Pedro Batista,707.436.666-82,2
8,Esther Carvalho,225.321.543-06,8
9,Esther Reis,718.782.348-70,9
10,Heloísa Barros Neto,750.047.423-75,1
11,Dr. Gael Saraiva,445.155.033-59,10
12,Eloá Martins,867.164.856-78,4
13,Valentina Nogueira,487.848.022-00,5
14,Natália Santos,523.176.348-97,7
15,Vicente Carvalho,348.277.804-39,8
16,Silas Nogueira,144.038.278-61,9
17,Lívia Macedo,741.166.728-58,5
18,Isabella Saraiva,635.441.634-62,6
19,Srta. Giovanna Oliveira,108.338.426-09,9
20,João Silva Neto,053.017.421-91,2
21,Fabiano Braga Filho,482.443.811-08,7
22,Fabrício Santos,114.650.117-06,5
23,Joaquim Costa,226.284.077-60,9
24,Marcela Macedo,454.076.160-92,8
25,Emanuelly Batista,018.874.417-78,6
26,Sarah Santos,144.268.805-05,5
27,Lorenzo Albuquerque,220.576.027-02,8
28,Danilo Moraes,672.856.266-43,10
29,Elísio Carvalho,246.814.686-73,4
30,Alícia Moreira,615.572.554-31,1
31,Natália Oliveira,087.864.476-88,2
32,Maria Alice Santos,137.754.136-34,8
33,Giovanna Braga,322.472.217-77,6
34,Sr. Suélen Carvalho,576.471.147-94,6
35,Alexandre Costa,853.787.268-75,8
36,Davi Lucca Oliveira,847.381.133-05,7
37,Félix Moreira,778.626.282-25,6
38,Karla Nogueira,873.673.827-13,8
39,Norberto Carvalho,507.628.440-35,5
40,João Pedro Batista,240.660.701-16,7
41,Sirineu Moreira,757.340.770-03,5
42,Margarida Oliveira,556.610.713-37,10
43,Lorena Santos Neto,510.371.024-28,4
44,Isis Santos,216.546.744-60,6
45,Alessandra Pereira,487.426.661-47,6
46,Isis Reis,181.578.405-97,7
47,Lavínia Oliveira,851.088.512-51,9
48,Pedro Martins,045.063.714-02,9
49,Lara Silva,776.310.755-30,2
50,Antônio Moraes,142.700.888-42,9
51,Emanuelly Carvalho,006.004.757-78,2
52,Isabella Silva,174.233.742-29,10
53,Víctor Barros,308.344.133-96,3
54,Heitor Nogueira,874.515.250-07,3
55,Yasmin Reis,378.680.813-92,8
56,Dr. Lorraine Franco,211.287.577-96,7
57,Dr. Alícia Pereira,441.147.473-54,6
58,Marcos Barros Neto,570.823.756-20,7
59,Leonardo Franco,031.826.415-30,9
60,Alice Santos Neto,511.357.664-60,6
61,Isis Braga,518.352.831-44,4
62,Roberto Melo Neto,718.053.263-09,3
63,Pietro Santos,048.850.540-28,3
64,Manuela Silva,816.652.723-50,1
65,Srta. Dalila Carvalho,061.310.114-60,1
66,Talita Santos,803.775.572-00,1
67,Ana Laura Batista,188.803.645-10,3
68,Ana Júlia Albuquerque,258.760.433-89,6
69,Deneval Silva,518.782.252-78,6
70,Ana Clara Xavier,353.015.888-77,5
71,Yuri Carvalho,054.743.064-74,5
72,Srta. Yuri Moreira,885.643.744-98,4
73,Srta. Anthony Silva,516.746.766-70,2
74,Miguel Martins,767.556.740-44,4
75,Lucas Carvalho,075.707.244-53,10
76,Lorena Melo,061.483.271-39,8
77,Isabel Carvalho,845.657.408-26,7
78,Joana Santos,216.117.188-72,2
79,Joana Xavier,050.153.758-91,5
80,Gúbio Moreira,200.646.834-00,4
81,Isabelly Melo,464.083.617-14,4
82,Rafaela Carvalho,011.317.560-45,1
83,Eloá Moraes,866.405.220-47,7
84,Antônio Moreira,368.057.725-75,5
85,Lucca Saraiva,830.113.086-59,10
86,Beatriz Pereira,484.407.663-94,1
87,Sra. Samuel Carvalho,261.416.464-09,10
88,Clara Melo,365.503.302-89,7
89,Dra. Vitor Macedo,723.062.422-32,3
90,Marina Barros,800.361.225-05,2
91,Mércia Silva,587.251.432-80,2
92,Lavínia Batista,316.026.018-60,4
93,Márcia Melo,486.435.636-09,1
94,Janaína Franco,164.402.415-24,8
95,Antônio Reis,548.047.181-33,8
96,Daniel Braga,326.365.574-40,8
97,Benício Albuquerque Jr.,330.023.873-04,4
98,Ana Clara Pereira,257.336.853-01,2
99,Danilo Oliveira Neto,032.826.276-53,5
100,Marina Moreira,206.180.886-79,4
101,Arthur Macedo,386.268.202-16,3
102,Arthur Pereira,553.651.265-05,9
103,Sirineu Souza,273.527.474-86,1
104,Sr. Gabriel Pereira,784.807.102-25,3
105,Márcia Braga,022.026.707-34,5
106,Dra. Gabriel Barros,300.736.458-26,8
107,Felícia Nogueira,005.254.656-00,2
108,Ana Luiza Batista,265.444.611-56,4
109,Enzo Macedo,007.045.314-45,7
110,Norberto Albuquerque,364.776.504-01,5
111,Sra. Bruna Franco,800.034.043-74,5
112,Benjamin Martins,544.762.424-05,8
113,Natália Nogueira,487.235.413-34,1
114,Joaquim Martins,010.348.104-48,8
115,Isaac Souza,788.526.013-50,4
116,Leonardo Reis,274.623.310-04,2
117,Sra. João Miguel Pereira,781.661.854-90,7
118,Dr. Eloá Melo,080.485.626-50,3
119,Felícia Macedo,000.337.546-32,7
120,Sra. João Miguel Santos,876.888.711-66,1
121,Júlio César Souza,765.241.786-45,10
122,Lucas Souza,487.381.434-02,10
123,Antonella Barros Neto,876.188.170-81,5
124,Laura Barros,643.037.482-34,2
125,Júlio César Silva,764.508.533-95,10
126,Carla Batista Filho,714.250.166-93,2
127,Salvador Costa,320.015.244-39,9
128,Ana Luiza Albuquerque,300.725.135-43,1
129,Mariana Pereira,068.323.547-89,6
130,Théo Oliveira,360.803.023-90,6
131,Bernardo Franco,611.182.857-60,8
132,Laura Reis,124.274.661-74,10
133,Hugo Santos,286.661.133-08,2
134,Liz Batista,321.720.675-47,6
135,Srta. Théo Nogueira,887.280.141-97,9
136,Dr. Dalila Barros,231.684.237-26,4
137,Marli Nogueira Jr.,324.067.738-50,5
138,Joaquim Reis,314.582.146-64,6
139,Enzo Gabriel Barros Jr.,547.587.776-91,10
140,Ana Júlia Saraiva,158.813.161-00,9
141,Karla Nogueira,073.658.072-70,7
142,Heitor Silva Filho,111.468.655-70,10
143,Feliciano Braga,240.383.276-63,9
144,Breno Reis,746.531.258-21,9
145,Morgana Albuquerque,856.211.617-34,8
146,Srta. Pedro Carvalho,484.816.811-21,1
147,Lara Oliveira,384.710.520-59,6
148,Felipe Carvalho,363.351.328-00,7
149,João Pedro Moraes,476.073.516-04,7
150,Bryan Reis,733.383.756-46,3
151,Daniel Franco,702.601.378-55,10
152,Lavínia Xavier,068.214.467-33,3
153,Felícia Santos,318.777.386-97,5
154,Yasmin Souza,354.817.606-22,4
155,Dra. Márcia Oliveira,206.086.116-03,8
156,Miguel Batista,523.055.057-01,7
157,Sra. Bryan Macedo,400.183.522-35,3
158,Emanuel Silva,068.821.021-04,5
159,Yago Carvalho,352.454.323-58,10
160,Enzo Gabriel Moraes,727.108.725-79,3
161,Maitê Barros,134.074.246-20,4
162,Júlia Oliveira,561.622.740-47,8
163,Luiza Nogueira,376.307.053-28,5
164,Júlia Costa,042.558.315-56,8
165,Ladislau Franco,870.153.268-50,7
166,Yango Souza,476.616.215-33,8
167,Larissa Xavier,366.202.845-07,10
168,Maria Alice Oliveira,065.665.131-83,9
169,Júlio Oliveira Neto,758.805.821-83,5
170,Helena Braga Jr.,401.631.112-86,1
171,Maria Júlia Oliveira,102.526.646-39,1
172,Margarida Melo,575.333.161-00,5
173,Maria Alice Nogueira Filho,404.258.516-72,1
174,Lucas Reis,423.376.448-12,3
175,Alessandra Franco,442.161.807-10,8
176,Giovanna Carvalho Filho,450.112.520-94,8
177,Suélen Moraes,846.632.425-96,6
178,Noah Souza Neto,542.403.077-75,2
179,Théo Batista,574.086.044-05,2
180,Giovanna Xavier,343.078.234-19,8
181,Gustavo Franco,700.063.543-60,7
182,Silas Albuquerque,882.556.234-93,1
183,Isabel Batista,308.051.158-11,2
184,Sra. Manuela Santos,847.852.308-19,10
185,Marcela Martins,418.240.551-02,3
186,Bernardo Oliveira Jr.,572.571.017-36,1
187,Janaína Nogueira Jr.,166.300.505-25,5
188,Pedro Souza,201.853.465-37,4
189,Suélen Reis,142.507.607-66,6
190,Théo Reis,441.103.377-12,9
191,Isabella Franco Jr.,827.483.321-05,9
192,Dr. Isabel Macedo,825.035.745-05,7
193,Paulo Melo,124.826.517-35,7
194,Hélio Pereira Filho,562.713.645-60,6
195,Janaína Santos,610.332.381-98,8
196,Valentina Moreira,506.518.688-07,7
197,Samuel Macedo,542.033.623-50,9
198,Enzo Gabriel Souza,875.878.223-05,9
199,Víctor Braga,586.614.257-00,8
200,Enzo Gabriel Saraiva,144.330.657-65,6
201,Alícia Costa,163.711.345-58,4
202,Yuri Carvalho Neto,818.702.070-92,3
203,Marcelo Braga Jr.,476.128.018-25,10
204,Núbia Santos,347.331.337-82,4
205,João Costa,846.066.303-53,4
206,Sra. Elisa Franco,824.836.270-13,10
207,Margarida Souza,864.357.671-90,1
208,Dr. Alice Franco,166.223.207-13,6
209,Washington Oliveira,034.380.670-30,7
210,Lorenzo Carvalho,103.274.466-92,1
211,Antonella Martins,443.602.584-53,6
212,Felícia Reis,637.850.686-89,3
213,Emanuelly Batista,507.035.072-22,8
214,Dr. Davi Martins,874.552.732-66,10
215,Luiza Albuquerque,060.250.300-06,9
216,Alice Costa,805.404.202-71,7
217,Núbia Moreira,531.747.041-20,6
218,Antônio Moreira,376.887.428-11,4
219,Marli Pereira,157.607.447-12,9
220,Davi Lucca Santos,047.473.421-84,7
221,Miguel Reis,273.463.168-78,9
222,Ladislau Santos,083.267.863-57,2
223,Daniel Costa,055.220.208-81,10
224,Sr. Antonella Costa,577.882.475-02,3
225,Murilo Santos,812.671.681-96,5
226,Nicolas Barros,884.708.041-03,2
227,Sr. Yago Pereira,523.554.223-11,2
228,Vitória Reis,380.526.632-45,6
229,Maria Luiza Oliveira,616.315.000-74,9
230,Yango Reis,715.687.318-09,5
231,Morgana Silva,126.705.186-80,6
232,Dr. Ana Clara Pereira,750.878.306-92,6
233,Lorraine Silva,715.102.448-75,7
234,Isabelly Oliveira,254.221.617-77,3
235,Carla Macedo,782.410.243-20,8
236,Eduardo Santos,117.083.834-09,1
237,Frederico Batista,841.571.714-89,4
238,Norberto Albuquerque,553.132.001-94,4
239,Emanuel Carvalho Neto,268.164.156-04,9
240,Dr. Kléber Carvalho,001.406.521-59,10
241,Larissa Macedo,310.606.067-04,5
242,Sra. Cauã Nogueira,226.741.280-20,3
243,Natália Melo,052.087.370-00,8
244,Sr. Salvador Reis,571.286.733-85,5
245,Srta. Paula Carvalho,836.000.352-15,2
246,Bernardo Franco Jr.,152.560.546-19,2
247,Vicente Pereira Filho,834.278.517-37,7
248,Lorenzo Moreira,058.341.325-02,6
249,Lorraine Xavier Filho,353.561.412-03,2
250,Vicente Oliveira Jr.,757.588.017-80,1
251,Benício Costa Jr.,382.773.845-80,9
252,Marli Silva,087.546.046-13,9
253,Lorena Costa,781.215.858-64,3
254,Caio Albuquerque,641.612.021-64,3
255,Srta. Kléber Carvalho,328.263.375-05,1
256,Paulo Macedo,754.701.251-57,9
257,César Reis,601.484.887-81,9
258,Sra. Lavínia Silva,488.521.727-00,1
259,Sr. Ladislau Souza,701.130.612-93,1
260,Yango Moreira,861.784.232-68,2
261,Fabrícia Carvalho,877.184.416-36,10
262,Lorenzo Albuquerque,784.364.427-09,8
263,Mércia Barros,666.417.442-13,7
264,Lorenzo Moraes,021.276.206-07,1
265,Nicolas Moraes Filho,688.684.554-39,6
266,Isis Reis Neto,265.570.487-83,8
267,Natália Braga,712.868.252-02,8
268,Luiza Oliveira,360.322.523-61,1
269,Maria Saraiva,420.406.008-09,4
270,Marcelo Macedo,234.623.727-26,7
271,Maria Clara Silva,532.505.552-66,2
272,Meire Moreira,065.077.728-01,4
273,Vitória Martins,025.314.445-05,7
274,Enzo Melo,858.238.777-65,6
275,Felipe Silva,136.713.440-40,3
276,Isis Pereira,108.100.746-05,9
277,Dr. Ana Luiza Nogueira,820.602.880-37,6
278,Leonardo Santos,831.524.755-78,7
279,João Miguel Batista,033.755.800-02,2
280,Karla Oliveira,615.427.136-09,4
281,Fabrício Nogueira,378.041.157-17,10
282,Lara Santos,220.832.457-92,6
283,Matheus Reis,712.081.136-31,4
284,Dr. Gúbio Silva,125.334.670-49,4
285,Larissa Melo,756.707.160-60,6
286,Suélen Franco,414.258.311-50,5
287,Roberto Batista,780.061.302-05,7
288,Felícia Macedo,605.104.230-00,3
289,Dr. Heloísa Souza,147.576.741-20,1
290,Alexandre Souza,022.835.316-59,2
291,Fábio Pereira,088.478.744-32,5
292,Washington Saraiva,787.402.631-42,7
293,Paula Franco,533.217.868-93,6
294,Maria Luiza Xavier,206.056.758-05,2
295,Cecília Melo,334.668.820-87,1
296,Eduarda Moreira,522.382.466-06,6
297,Dra. Talita Oliveira,365.208.352-00,9
298,Liz Oliveira,252.768.641-95,2
299,Pablo Pereira,080.755.075-25,5
300,João Pedro Costa,474.726.853-72,3
301,Bruna Souza,416.108.781-08,9
302,Laura Souza,850.284.582-94,9
303,Joana Braga,747.867.135-70,3
304,Sirineu Nogueira Neto,076.748.125-96,2
305,Núbia Melo,347.843.201-48,5
306,Yago Melo,725.878.640-62,6
307,Antonella Braga,810.205.808-01,8
308,Célia Carvalho,261.703.826-27,4
309,Norberto Carvalho,057.337.423-64,6
